text,emotion
Struggling to stay awake while studying programming.!,Bored
"Honestly, struggling to stay awake while studying programming.",Bored
I feel like struggling to stay awake while studying programming.,Bored
This programming textbook is the most tedious thing I've ever read.,Bored
this programming textbook is the most tedious thing i've ever read,Bored
This programming textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this programming textbook is the most tedious thing I've ever read.",Bored
I feel like this programming textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of programming.,Confident
i feel really good about my understanding of programming,Confident
I feel really good about my understanding of programming.!,Confident
"Honestly, i feel really good about my understanding of programming.",Confident
I feel like i feel really good about my understanding of programming.,Confident
I solved all the programming homework problems easily.,Confident
i solved all the programming homework problems easily,Confident
I solved all the programming homework problems easily.!,Confident
"Honestly, i solved all the programming homework problems easily.",Confident
I feel like i solved all the programming homework problems easily.,Confident
I'm ready to ace this programming test.,Confident
i'm ready to ace this programming test,Confident
I'm ready to ace this programming test.!,Confident
"Honestly, i'm ready to ace this programming test.",Confident
I feel like i'm ready to ace this programming test.,Confident
Understanding programming has been super smooth for me.,Confident
understanding programming has been super smooth for me,Confident
Understanding programming has been super smooth for me.!,Confident
"Honestly, understanding programming has been super smooth for me.",Confident
I feel like understanding programming has been super smooth for me.,Confident
I can confidently implement the core concepts of programming.,Confident
i can confidently implement the core concepts of programming,Confident
I can confidently implement the core concepts of programming.!,Confident
"Honestly, i can confidently implement the core concepts of programming.",Confident
I feel like i can confidently implement the core concepts of programming.,Confident
I'm completely lost when it comes to programming.,Confused
i'm completely lost when it comes to programming,Confused
I'm completely lost when it comes to programming.!,Confused
"Honestly, i'm completely lost when it comes to programming.",Confused
I feel like i'm completely lost when it comes to programming.,Confused
Can someone help explain programming? I don't understand it.,Confused
can someone help explain programming? i don't understand it,Confused
Can someone help explain programming? I don't understand it.!,Confused
"Honestly, can someone help explain programming? I don't understand it.",Confused
I feel like can someone help explain programming? I don't understand it.,Confused
I don't know what is going on in programming class.,Confused
i don't know what is going on in programming class,Confused
I don't know what is going on in programming class.!,Confused
"Honestly, i don't know what is going on in programming class.",Confused
I feel like i don't know what is going on in programming class.,Confused
The concept of programming is very confusing to me.,Confused
the concept of programming is very confusing to me,Confused
The concept of programming is very confusing to me.!,Confused
"Honestly, the concept of programming is very confusing to me.",Confused
I feel like the concept of programming is very confusing to me.,Confused
"I'm stuck on programming basics, I need a tutor.",Confused
"i'm stuck on programming basics, i need a tutor",Confused
"I'm stuck on programming basics, I need a tutor.!",Confused
"Honestly, i'm stuck on programming basics, I need a tutor.",Confused
"I feel like i'm stuck on programming basics, I need a tutor.",Confused
I really want to dive deeper into programming applications.,Curious
i really want to dive deeper into programming applications,Curious
I really want to dive deeper into programming applications.!,Curious
"Honestly, i really want to dive deeper into programming applications.",Curious
I feel like i really want to dive deeper into programming applications.,Curious
I'm curious about how programming works in the industry.,Curious
i'm curious about how programming works in the industry,Curious
I'm curious about how programming works in the industry.!,Curious
"Honestly, i'm curious about how programming works in the industry.",Curious
I feel like i'm curious about how programming works in the industry.,Curious
How does programming relate to real-world software systems?,Curious
how does programming relate to real-world software systems?,Curious
How does programming relate to real-world software systems?!,Curious
"Honestly, how does programming relate to real-world software systems?",Curious
I feel like how does programming relate to real-world software systems?,Curious
I want to know more about the advanced topics in programming.,Curious
i want to know more about the advanced topics in programming,Curious
I want to know more about the advanced topics in programming.!,Curious
"Honestly, i want to know more about the advanced topics in programming.",Curious
I feel like i want to know more about the advanced topics in programming.,Curious
Are there any projects I can build to master programming?,Curious
are there any projects i can build to master programming?,Curious
Are there any projects I can build to master programming?!,Curious
"Honestly, are there any projects I can build to master programming?",Curious
I feel like are there any projects I can build to master programming?,Curious
I'm so frustrated with this programming homework.,Frustrated
i'm so frustrated with this programming homework,Frustrated
I'm so frustrated with this programming homework.!,Frustrated
"Honestly, i'm so frustrated with this programming homework.",Frustrated
I feel like i'm so frustrated with this programming homework.,Frustrated
I've been trying to solve this programming issue for hours.,Frustrated
i've been trying to solve this programming issue for hours,Frustrated
I've been trying to solve this programming issue for hours.!,Frustrated
"Honestly, i've been trying to solve this programming issue for hours.",Frustrated
I feel like i've been trying to solve this programming issue for hours.,Frustrated
This programming lab is absolute torture.,Frustrated
this programming lab is absolute torture,Frustrated
This programming lab is absolute torture.!,Frustrated
"Honestly, this programming lab is absolute torture.",Frustrated
I feel like this programming lab is absolute torture.,Frustrated
I keep failing the tests for programming and I'm losing my mind.,Frustrated
i keep failing the tests for programming and i'm losing my mind,Frustrated
I keep failing the tests for programming and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for programming and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for programming and I'm losing my mind.,Frustrated
Nothing makes sense in programming and it's extremely annoying.,Frustrated
nothing makes sense in programming and it's extremely annoying,Frustrated
Nothing makes sense in programming and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in programming and it's extremely annoying.",Frustrated
I feel like nothing makes sense in programming and it's extremely annoying.,Frustrated
"Honestly, calculus is so boring.",Bored
"honestly, calculus is so boring",Bored
"Honestly, calculus is so boring.!",Bored
"Honestly, honestly, calculus is so boring.",Bored
"I feel like honestly, calculus is so boring.",Bored
I can't pay attention to calculus lectures at all.,Bored
i can't pay attention to calculus lectures at all,Bored
I can't pay attention to calculus lectures at all.!,Bored
"Honestly, i can't pay attention to calculus lectures at all.",Bored
I feel like i can't pay attention to calculus lectures at all.,Bored
Why do we study calculus? It's just pointless memorization.,Bored
why do we study calculus? it's just pointless memorization,Bored
Why do we study calculus? It's just pointless memorization.!,Bored
"Honestly, why do we study calculus? It's just pointless memorization.",Bored
I feel like why do we study calculus? It's just pointless memorization.,Bored
Struggling to stay awake while studying calculus.,Bored
struggling to stay awake while studying calculus,Bored
Struggling to stay awake while studying calculus.!,Bored
"Honestly, struggling to stay awake while studying calculus.",Bored
I feel like struggling to stay awake while studying calculus.,Bored
This calculus textbook is the most tedious thing I've ever read.,Bored
this calculus textbook is the most tedious thing i've ever read,Bored
This calculus textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this calculus textbook is the most tedious thing I've ever read.",Bored
I feel like this calculus textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of calculus.,Confident
i feel really good about my understanding of calculus,Confident
I feel really good about my understanding of calculus.!,Confident
"Honestly, i feel really good about my understanding of calculus.",Confident
I feel like i feel really good about my understanding of calculus.,Confident
I solved all the calculus homework problems easily.,Confident
i solved all the calculus homework problems easily,Confident
I solved all the calculus homework problems easily.!,Confident
"Honestly, i solved all the calculus homework problems easily.",Confident
I feel like i solved all the calculus homework problems easily.,Confident
I'm ready to ace this calculus test.,Confident
i'm ready to ace this calculus test,Confident
I'm ready to ace this calculus test.!,Confident
"Honestly, i'm ready to ace this calculus test.",Confident
I feel like i'm ready to ace this calculus test.,Confident
Understanding calculus has been super smooth for me.,Confident
understanding calculus has been super smooth for me,Confident
Understanding calculus has been super smooth for me.!,Confident
"Honestly, understanding calculus has been super smooth for me.",Confident
I feel like understanding calculus has been super smooth for me.,Confident
I can confidently implement the core concepts of calculus.,Confident
i can confidently implement the core concepts of calculus,Confident
I can confidently implement the core concepts of calculus.!,Confident
"Honestly, i can confidently implement the core concepts of calculus.",Confident
I feel like i can confidently implement the core concepts of calculus.,Confident
I'm completely lost when it comes to calculus.,Confused
i'm completely lost when it comes to calculus,Confused
I'm completely lost when it comes to calculus.!,Confused
"Honestly, i'm completely lost when it comes to calculus.",Confused
I feel like i'm completely lost when it comes to calculus.,Confused
Can someone help explain calculus? I don't understand it.,Confused
can someone help explain calculus? i don't understand it,Confused
Can someone help explain calculus? I don't understand it.!,Confused
"Honestly, can someone help explain calculus? I don't understand it.",Confused
I feel like can someone help explain calculus? I don't understand it.,Confused
I don't know what is going on in calculus class.,Confused
i don't know what is going on in calculus class,Confused
I don't know what is going on in calculus class.!,Confused
"Honestly, i don't know what is going on in calculus class.",Confused
I feel like i don't know what is going on in calculus class.,Confused
The concept of calculus is very confusing to me.,Confused
the concept of calculus is very confusing to me,Confused
The concept of calculus is very confusing to me.!,Confused
"Honestly, the concept of calculus is very confusing to me.",Confused
I feel like the concept of calculus is very confusing to me.,Confused
"I'm stuck on calculus basics, I need a tutor.",Confused
"i'm stuck on calculus basics, i need a tutor",Confused
"I'm stuck on calculus basics, I need a tutor.!",Confused
"Honestly, i'm stuck on calculus basics, I need a tutor.",Confused
"I feel like i'm stuck on calculus basics, I need a tutor.",Confused
I really want to dive deeper into calculus applications.,Curious
i really want to dive deeper into calculus applications,Curious
I really want to dive deeper into calculus applications.!,Curious
"Honestly, i really want to dive deeper into calculus applications.",Curious
I feel like i really want to dive deeper into calculus applications.,Curious
I'm curious about how calculus works in the industry.,Curious
i'm curious about how calculus works in the industry,Curious
I'm curious about how calculus works in the industry.!,Curious
"Honestly, i'm curious about how calculus works in the industry.",Curious
I feel like i'm curious about how calculus works in the industry.,Curious
How does calculus relate to real-world software systems?,Curious
how does calculus relate to real-world software systems?,Curious
How does calculus relate to real-world software systems?!,Curious
"Honestly, how does calculus relate to real-world software systems?",Curious
I feel like how does calculus relate to real-world software systems?,Curious
I want to know more about the advanced topics in calculus.,Curious
i want to know more about the advanced topics in calculus,Curious
I want to know more about the advanced topics in calculus.!,Curious
"Honestly, i want to know more about the advanced topics in calculus.",Curious
I feel like i want to know more about the advanced topics in calculus.,Curious
Are there any projects I can build to master calculus?,Curious
are there any projects i can build to master calculus?,Curious
Are there any projects I can build to master calculus?!,Curious
"Honestly, are there any projects I can build to master calculus?",Curious
I feel like are there any projects I can build to master calculus?,Curious
I'm so frustrated with this calculus homework.,Frustrated
i'm so frustrated with this calculus homework,Frustrated
I'm so frustrated with this calculus homework.!,Frustrated
"Honestly, i'm so frustrated with this calculus homework.",Frustrated
I feel like i'm so frustrated with this calculus homework.,Frustrated
I've been trying to solve this calculus issue for hours.,Frustrated
i've been trying to solve this calculus issue for hours,Frustrated
I've been trying to solve this calculus issue for hours.!,Frustrated
"Honestly, i've been trying to solve this calculus issue for hours.",Frustrated
I feel like i've been trying to solve this calculus issue for hours.,Frustrated
This calculus lab is absolute torture.,Frustrated
this calculus lab is absolute torture,Frustrated
This calculus lab is absolute torture.!,Frustrated
"Honestly, this calculus lab is absolute torture.",Frustrated
I feel like this calculus lab is absolute torture.,Frustrated
I keep failing the tests for calculus and I'm losing my mind.,Frustrated
i keep failing the tests for calculus and i'm losing my mind,Frustrated
I keep failing the tests for calculus and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for calculus and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for calculus and I'm losing my mind.,Frustrated
Nothing makes sense in calculus and it's extremely annoying.,Frustrated
nothing makes sense in calculus and it's extremely annoying,Frustrated
Nothing makes sense in calculus and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in calculus and it's extremely annoying.",Frustrated
I feel like nothing makes sense in calculus and it's extremely annoying.,Frustrated
"Honestly, machine learning is so boring.",Bored
"honestly, machine learning is so boring",Bored
"Honestly, machine learning is so boring.!",Bored
"Honestly, honestly, machine learning is so boring.",Bored
"I feel like honestly, machine learning is so boring.",Bored
I can't pay attention to machine learning lectures at all.,Bored
i can't pay attention to machine learning lectures at all,Bored
I can't pay attention to machine learning lectures at all.!,Bored
"Honestly, i can't pay attention to machine learning lectures at all.",Bored
I feel like i can't pay attention to machine learning lectures at all.,Bored
Why do we study machine learning? It's just pointless memorization.,Bored
why do we study machine learning? it's just pointless memorization,Bored
Why do we study machine learning? It's just pointless memorization.!,Bored
"Honestly, why do we study machine learning? It's just pointless memorization.",Bored
I feel like why do we study machine learning? It's just pointless memorization.,Bored
Struggling to stay awake while studying machine learning.,Bored
struggling to stay awake while studying machine learning,Bored
Struggling to stay awake while studying machine learning.!,Bored
"Honestly, struggling to stay awake while studying machine learning.",Bored
I feel like struggling to stay awake while studying machine learning.,Bored
This machine learning textbook is the most tedious thing I've ever read.,Bored
this machine learning textbook is the most tedious thing i've ever read,Bored
This machine learning textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this machine learning textbook is the most tedious thing I've ever read.",Bored
I feel like this machine learning textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of machine learning.,Confident
i feel really good about my understanding of machine learning,Confident
I feel really good about my understanding of machine learning.!,Confident
"Honestly, i feel really good about my understanding of machine learning.",Confident
I feel like i feel really good about my understanding of machine learning.,Confident
I solved all the machine learning homework problems easily.,Confident
i solved all the machine learning homework problems easily,Confident
I solved all the machine learning homework problems easily.!,Confident
"Honestly, i solved all the machine learning homework problems easily.",Confident
I feel like i solved all the machine learning homework problems easily.,Confident
I'm ready to ace this machine learning test.,Confident
i'm ready to ace this machine learning test,Confident
I'm ready to ace this machine learning test.!,Confident
"Honestly, i'm ready to ace this machine learning test.",Confident
I feel like i'm ready to ace this machine learning test.,Confident
Understanding machine learning has been super smooth for me.,Confident
understanding machine learning has been super smooth for me,Confident
Understanding machine learning has been super smooth for me.!,Confident
"Honestly, understanding machine learning has been super smooth for me.",Confident
I feel like understanding machine learning has been super smooth for me.,Confident
I can confidently implement the core concepts of machine learning.,Confident
i can confidently implement the core concepts of machine learning,Confident
I can confidently implement the core concepts of machine learning.!,Confident
"Honestly, i can confidently implement the core concepts of machine learning.",Confident
I feel like i can confidently implement the core concepts of machine learning.,Confident
I'm completely lost when it comes to machine learning.,Confused
i'm completely lost when it comes to machine learning,Confused
I'm completely lost when it comes to machine learning.!,Confused
"Honestly, i'm completely lost when it comes to machine learning.",Confused
I feel like i'm completely lost when it comes to machine learning.,Confused
Can someone help explain machine learning? I don't understand it.,Confused
can someone help explain machine learning? i don't understand it,Confused
Can someone help explain machine learning? I don't understand it.!,Confused
"Honestly, can someone help explain machine learning? I don't understand it.",Confused
I feel like can someone help explain machine learning? I don't understand it.,Confused
I don't know what is going on in machine learning class.,Confused
i don't know what is going on in machine learning class,Confused
I don't know what is going on in machine learning class.!,Confused
"Honestly, i don't know what is going on in machine learning class.",Confused
I feel like i don't know what is going on in machine learning class.,Confused
The concept of machine learning is very confusing to me.,Confused
the concept of machine learning is very confusing to me,Confused
The concept of machine learning is very confusing to me.!,Confused
"Honestly, the concept of machine learning is very confusing to me.",Confused
I feel like the concept of machine learning is very confusing to me.,Confused
"I'm stuck on machine learning basics, I need a tutor.",Confused
"i'm stuck on machine learning basics, i need a tutor",Confused
"I'm stuck on machine learning basics, I need a tutor.!",Confused
"Honestly, i'm stuck on machine learning basics, I need a tutor.",Confused
"I feel like i'm stuck on machine learning basics, I need a tutor.",Confused
I really want to dive deeper into machine learning applications.,Curious
i really want to dive deeper into machine learning applications,Curious
I really want to dive deeper into machine learning applications.!,Curious
"Honestly, i really want to dive deeper into machine learning applications.",Curious
I feel like i really want to dive deeper into machine learning applications.,Curious
I'm curious about how machine learning works in the industry.,Curious
i'm curious about how machine learning works in the industry,Curious
I'm curious about how machine learning works in the industry.!,Curious
"Honestly, i'm curious about how machine learning works in the industry.",Curious
I feel like i'm curious about how machine learning works in the industry.,Curious
How does machine learning relate to real-world software systems?,Curious
how does machine learning relate to real-world software systems?,Curious
How does machine learning relate to real-world software systems?!,Curious
"Honestly, how does machine learning relate to real-world software systems?",Curious
I feel like how does machine learning relate to real-world software systems?,Curious
I want to know more about the advanced topics in machine learning.,Curious
i want to know more about the advanced topics in machine learning,Curious
I want to know more about the advanced topics in machine learning.!,Curious
"Honestly, i want to know more about the advanced topics in machine learning.",Curious
I feel like i want to know more about the advanced topics in machine learning.,Curious
Are there any projects I can build to master machine learning?,Curious
are there any projects i can build to master machine learning?,Curious
Are there any projects I can build to master machine learning?!,Curious
"Honestly, are there any projects I can build to master machine learning?",Curious
I feel like are there any projects I can build to master machine learning?,Curious
I'm so frustrated with this machine learning homework.,Frustrated
i'm so frustrated with this machine learning homework,Frustrated
I'm so frustrated with this machine learning homework.!,Frustrated
"Honestly, i'm so frustrated with this machine learning homework.",Frustrated
I feel like i'm so frustrated with this machine learning homework.,Frustrated
I've been trying to solve this machine learning issue for hours.,Frustrated
i've been trying to solve this machine learning issue for hours,Frustrated
I've been trying to solve this machine learning issue for hours.!,Frustrated
"Honestly, i've been trying to solve this machine learning issue for hours.",Frustrated
I feel like i've been trying to solve this machine learning issue for hours.,Frustrated
This machine learning lab is absolute torture.,Frustrated
this machine learning lab is absolute torture,Frustrated
This machine learning lab is absolute torture.!,Frustrated
"Honestly, this machine learning lab is absolute torture.",Frustrated
I feel like this machine learning lab is absolute torture.,Frustrated
I keep failing the tests for machine learning and I'm losing my mind.,Frustrated
i keep failing the tests for machine learning and i'm losing my mind,Frustrated
I keep failing the tests for machine learning and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for machine learning and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for machine learning and I'm losing my mind.,Frustrated
Nothing makes sense in machine learning and it's extremely annoying.,Frustrated
nothing makes sense in machine learning and it's extremely annoying,Frustrated
Nothing makes sense in machine learning and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in machine learning and it's extremely annoying.",Frustrated
I feel like nothing makes sense in machine learning and it's extremely annoying.,Frustrated
"Honestly, data structures is so boring.",Bored
"honestly, data structures is so boring",Bored
"Honestly, data structures is so boring.!",Bored
"Honestly, honestly, data structures is so boring.",Bored
"I feel like honestly, data structures is so boring.",Bored
I can't pay attention to data structures lectures at all.,Bored
i can't pay attention to data structures lectures at all,Bored
I can't pay attention to data structures lectures at all.!,Bored
"Honestly, i can't pay attention to data structures lectures at all.",Bored
I feel like i can't pay attention to data structures lectures at all.,Bored
Why do we study data structures? It's just pointless memorization.,Bored
why do we study data structures? it's just pointless memorization,Bored
Why do we study data structures? It's just pointless memorization.!,Bored
"Honestly, why do we study data structures? It's just pointless memorization.",Bored
I feel like why do we study data structures? It's just pointless memorization.,Bored
Struggling to stay awake while studying data structures.,Bored
struggling to stay awake while studying data structures,Bored
Struggling to stay awake while studying data structures.!,Bored
"Honestly, struggling to stay awake while studying data structures.",Bored
I feel like struggling to stay awake while studying data structures.,Bored
This data structures textbook is the most tedious thing I've ever read.,Bored
this data structures textbook is the most tedious thing i've ever read,Bored
This data structures textbook is the most tedious thing I've ever read.!,Bored
"Honestly, this data structures textbook is the most tedious thing I've ever read.",Bored
I feel like this data structures textbook is the most tedious thing I've ever read.,Bored
I feel really good about my understanding of data structures.,Confident
i feel really good about my understanding of data structures,Confident
I feel really good about my understanding of data structures.!,Confident
"Honestly, i feel really good about my understanding of data structures.",Confident
I feel like i feel really good about my understanding of data structures.,Confident
I solved all the data structures homework problems easily.,Confident
i solved all the data structures homework problems easily,Confident
I solved all the data structures homework problems easily.!,Confident
"Honestly, i solved all the data structures homework problems easily.",Confident
I feel like i solved all the data structures homework problems easily.,Confident
I'm ready to ace this data structures test.,Confident
i'm ready to ace this data structures test,Confident
I'm ready to ace this data structures test.!,Confident
"Honestly, i'm ready to ace this data structures test.",Confident
I feel like i'm ready to ace this data structures test.,Confident
Understanding data structures has been super smooth for me.,Confident
understanding data structures has been super smooth for me,Confident
Understanding data structures has been super smooth for me.!,Confident
"Honestly, understanding data structures has been super smooth for me.",Confident
I feel like understanding data structures has been super smooth for me.,Confident
I can confidently implement the core concepts of data structures.,Confident
i can confidently implement the core concepts of data structures,Confident
I can confidently implement the core concepts of data structures.!,Confident
"Honestly, i can confidently implement the core concepts of data structures.",Confident
I feel like i can confidently implement the core concepts of data structures.,Confident
I'm completely lost when it comes to data structures.,Confused
i'm completely lost when it comes to data structures,Confused
I'm completely lost when it comes to data structures.!,Confused
"Honestly, i'm completely lost when it comes to data structures.",Confused
I feel like i'm completely lost when it comes to data structures.,Confused
Can someone help explain data structures? I don't understand it.,Confused
can someone help explain data structures? i don't understand it,Confused
Can someone help explain data structures? I don't understand it.!,Confused
"Honestly, can someone help explain data structures? I don't understand it.",Confused
I feel like can someone help explain data structures? I don't understand it.,Confused
I don't know what is going on in data structures class.,Confused
i don't know what is going on in data structures class,Confused
I don't know what is going on in data structures class.!,Confused
"Honestly, i don't know what is going on in data structures class.",Confused
I feel like i don't know what is going on in data structures class.,Confused
The concept of data structures is very confusing to me.,Confused
the concept of data structures is very confusing to me,Confused
The concept of data structures is very confusing to me.!,Confused
"Honestly, the concept of data structures is very confusing to me.",Confused
I feel like the concept of data structures is very confusing to me.,Confused
"I'm stuck on data structures basics, I need a tutor.",Confused
"i'm stuck on data structures basics, i need a tutor",Confused
"I'm stuck on data structures basics, I need a tutor.!",Confused
"Honestly, i'm stuck on data structures basics, I need a tutor.",Confused
"I feel like i'm stuck on data structures basics, I need a tutor.",Confused
I really want to dive deeper into data structures applications.,Curious
i really want to dive deeper into data structures applications,Curious
I really want to dive deeper into data structures applications.!,Curious
"Honestly, i really want to dive deeper into data structures applications.",Curious
I feel like i really want to dive deeper into data structures applications.,Curious
I'm curious about how data structures works in the industry.,Curious
i'm curious about how data structures works in the industry,Curious
I'm curious about how data structures works in the industry.!,Curious
"Honestly, i'm curious about how data structures works in the industry.",Curious
I feel like i'm curious about how data structures works in the industry.,Curious
How does data structures relate to real-world software systems?,Curious
how does data structures relate to real-world software systems?,Curious
How does data structures relate to real-world software systems?!,Curious
"Honestly, how does data structures relate to real-world software systems?",Curious
I feel like how does data structures relate to real-world software systems?,Curious
I want to know more about the advanced topics in data structures.,Curious
i want to know more about the advanced topics in data structures,Curious
I want to know more about the advanced topics in data structures.!,Curious
"Honestly, i want to know more about the advanced topics in data structures.",Curious
I feel like i want to know more about the advanced topics in data structures.,Curious
Are there any projects I can build to master data structures?,Curious
are there any projects i can build to master data structures?,Curious
Are there any projects I can build to master data structures?!,Curious
"Honestly, are there any projects I can build to master data structures?",Curious
I feel like are there any projects I can build to master data structures?,Curious
I'm so frustrated with this data structures homework.,Frustrated
i'm so frustrated with this data structures homework,Frustrated
I'm so frustrated with this data structures homework.!,Frustrated
"Honestly, i'm so frustrated with this data structures homework.",Frustrated
I feel like i'm so frustrated with this data structures homework.,Frustrated
I've been trying to solve this data structures issue for hours.,Frustrated
i've been trying to solve this data structures issue for hours,Frustrated
I've been trying to solve this data structures issue for hours.!,Frustrated
"Honestly, i've been trying to solve this data structures issue for hours.",Frustrated
I feel like i've been trying to solve this data structures issue for hours.,Frustrated
This data structures lab is absolute torture.,Frustrated
this data structures lab is absolute torture,Frustrated
This data structures lab is absolute torture.!,Frustrated
"Honestly, this data structures lab is absolute torture.",Frustrated
I feel like this data structures lab is absolute torture.,Frustrated
I keep failing the tests for data structures and I'm losing my mind.,Frustrated
i keep failing the tests for data structures and i'm losing my mind,Frustrated
I keep failing the tests for data structures and I'm losing my mind.!,Frustrated
"Honestly, i keep failing the tests for data structures and I'm losing my mind.",Frustrated
I feel like i keep failing the tests for data structures and I'm losing my mind.,Frustrated
Nothing makes sense in data structures and it's extremely annoying.,Frustrated
nothing makes sense in data structures and it's extremely annoying,Frustrated
Nothing makes sense in data structures and it's extremely annoying.!,Frustrated
"Honestly, nothing makes sense in data structures and it's extremely annoying.",Frustrated
I feel like nothing makes sense in data structures and it's extremely annoying.,Frustrated
"Honestly, python is so boring.",Bored
"honestly, python is so boring",Bored
"Honestly, python is so boring.!",Bored
"Honestly, honestly, python is so boring.",Bored
"I feel like honestly, python is so boring.",Bored
I can't pay attention to python lectures at all.,Bored
i can't pay attention to python lectures at all,Bored
I can't pay attention to python lectures at all.!,Bored
"Honestly, i can't pay attention to python lectures at all.",Bored
I feel like i can't pay attention to python lectures at all.,Bored
Why do we study python? It's just pointless memorization.,Bored
why do we study python? it's just pointless memorization,Bored
Why do we study python? It's just pointless memorization.!,Bored
"Honestly, why do we study python? It's just pointless memorization.",Bored
I feel like why do we study python? It's just pointless memorization.,Bored
Struggling to stay awake while studying python.,Bored
struggling to stay awake while studying python,Bored
Struggling to stay awake while studying python.!,Bored
"Honestly, struggling to stay awake while studying python.",Bored
